week_start,eligible_order_count,late_order_count,late_delivery_rate
2016-09-19,387,231,0.5968992248062015
2016-09-26,385,209,0.5428571428571428
2016-10-03,374,202,0.5401069518716578
2016-10-10,392,219,0.5586734693877551
2016-10-17,386,233,0.6036269430051814
2016-10-24,385,225,0.5844155844155844
2016-10-31,391,227,0.5805626598465473
2016-11-07,370,208,0.5621621621621622
2016-11-14,383,225,0.587467362924282
2016-11-21,380,212,0.5578947368421052
2016-11-28,383,220,0.5744125326370757
2016-12-05,389,220,0.5655526992287918
2016-12-12,379,215,0.5672823218997362
2016-12-19,384,234,0.609375
2016-12-26,370,221,0.5972972972972973
2017-01-02,393,214,0.544529262086514
2017-01-09,382,217,0.5680628272251309
2017-01-16,383,217,0.566579634464752
2017-01-23,374,204,0.5454545454545454
2017-01-30,382,229,0.599476439790576
2017-02-06,378,216,0.5714285714285714
2017-02-13,383,228,0.5953002610966057
2017-02-20,392,213,0.5433673469387755
2017-02-27,386,221,0.572538860103627
2017-03-06,380,215,0.5657894736842105
2017-03-13,385,217,0.5636363636363636
2017-03-20,388,237,0.6108247422680413
2017-03-27,395,210,0.5316455696202531
2017-04-03,394,217,0.550761421319797
2017-04-10,387,218,0.5633074935400517
2017-04-17,390,212,0.5435897435897435
2017-04-24,382,210,0.5497382198952879
2017-05-01,385,229,0.5948051948051948
2017-05-08,372,202,0.543010752688172
2017-05-15,369,221,0.5989159891598916
2017-05-22,377,219,0.5809018567639257
2017-05-29,398,217,0.5452261306532663
2017-06-05,370,207,0.5594594594594594
2017-06-12,357,207,0.5798319327731093
2017-06-19,377,210,0.5570291777188329
2017-06-26,378,221,0.5846560846560847
2017-07-03,384,239,0.6223958333333334
2017-07-10,374,210,0.5614973262032086
2017-07-17,394,217,0.550761421319797
2017-07-24,383,216,0.5639686684073107
2017-07-31,396,233,0.5883838383838383
2017-08-07,373,199,0.5335120643431636
2017-08-14,362,217,0.5994475138121547
2017-08-21,391,229,0.5856777493606138
2017-08-28,387,224,0.5788113695090439
2017-09-04,382,215,0.56282722513089
2017-09-11,393,215,0.5470737913486005
2017-09-18,381,221,0.5800524934383202
2017-09-25,377,222,0.5888594164456233
2017-10-02,459,249,0.5424836601307189
2017-10-09,462,296,0.6406926406926406
2017-10-16,453,245,0.5408388520971302
2017-10-23,456,249,0.5460526315789473
2017-10-30,459,266,0.579520697167756
2017-11-06,453,256,0.565121412803532
2017-11-13,460,264,0.5739130434782609
2017-11-20,458,263,0.574235807860262
2017-11-27,459,278,0.6056644880174292
2017-12-04,457,265,0.5798687089715536
2017-12-11,460,270,0.5869565217391305
2017-12-18,460,254,0.5521739130434783
2017-12-25,455,260,0.5714285714285714
2018-01-01,460,276,0.6
2018-01-08,455,278,0.610989010989011
2018-01-15,464,260,0.5603448275862069
2018-01-22,463,272,0.5874730021598272
